Meter Of Water,متر ماء,
Meter/Second,متر/ثانية,
Microbar,ميكروبار,
Microgram,ميكروجرام,
Microgram/Litre,ميكروجرام/لتر,
Micrometer,ميكرومتر,
Microsecond,ميكروثانية,
Middle Income,الدخل المتوسط,
Mile,ميل,
Mile (Nautical),ميل (بحري),
Mile/Hour,ميل/ساعة,
Mile/Minute,ميل/دقيقة,
Mile/Second,ميل/ثانية,
Milibar,مليبار,
Milliampere,مللي أمبير,
Millicoulomb,مللي كولوم,
Milligram,ملليجرام,
Milligram/Cubic Centimeter,ملليجرام/سنتيمتر مكعب,
Milligram/Cubic Meter,ملليجرام/متر مكعب,
Milligram/Cubic Millimeter,ملليجرام/ملليمتر مكعب,
Milligram/Litre,ملليجرام/لتر,
Millihertz,مللي هرتز,
Millilitre,ملليلتر,
Millimeter,ملليمتر,
Millimeter Of Mercury,ملليمتر زئبق,
Millimeter Of Water,ملليمتر ماء,
Millisecond,مللي ثانية,
Min Amount,الحد الأدنى للمبلغ,
Min Amt,مين امت,
Min Amt can not be greater than Max Amt,مين آمت لا يمكن أن يكون أكبر من ماكس آمت,
Min Grade,دقيقة الصف,
Min Order Qty,أقل كمية للطلب,
Min Qty,الحد الأدنى من الكمية,
Min Qty (As Per Stock UOM),أقل كمية (حسب وحدة قياس المخزون),
Min Qty can not be greater than Max Qty,الكمية الادنى لايمكن ان تكون اكبر من الكمية الاعلى,
Min Qty should be greater than Recurse Over Qty,يجب أن تكون الكمية الدنيا أكبر من الكمية المتكررة,
Minimum Invoice Amount,الحد الأدنى للمبلغ الفاتورة,
Minimum Lead Age (Days),الحد الأدنى لعمر الزبون المحتمل (أيام),
Minimum Net Rate,أدنى سعر صافي,
Minimum Order Qty,الحد الأدنى لطلب الكمية,
Minimum Order Quantity,أقل كمية ممكن طلبها,
Minimum Payment Amount,أقل مبلغ للدفع,
Minimum Qty,الكمية الدنيا,
Minimum Total Spent,الحد الأدنى لإجمالي الإنفاق,
Minimum Value,الحد الأدنى,
Minimum quantity should be as per Stock UOM,يجب أن تكون الكمية الأدنى حسب مخزون UOM,
Minute,دقيقة,
Minutes,الدقائق,
Miscellaneous,متنوعات,
Miscellaneous Expenses,نفقات متنوعة,
Mismatch,عدم تطابق,
Missing,مفقود,
Missing Account,حساب مفقود,
Missing Asset,أصل مفقود,
Missing Cost Center,مركز تكلفة مفقود,
Missing Default in Company,الافتراضي مفقود في الشركة,
Missing Filters,فلاتر مفقودة,
Missing Finance Book,دفتر مالي مفقود,
Missing Finished Good,منتج نهائي مفقود,
Missing Formula,صيغة مفقودة,
Missing Item,صنف مفقود,
Missing Payments App,تطبيق المدفوعات مفقود,
Missing Serial No Bundle,حزمة الرقم التسلسلي مفقودة,
Missing email template for dispatch. Please set one in Delivery Settings.,قالب بريد إلكتروني مفقود للإرسال. يرجى ضبط واحد في إعدادات التسليم.,
Missing value,قيمة مفقودة,
Mixed Conditions,ظروف مختلطة,
Mobile: ,المحمول: ,
Mode Of Payment,طريقة الدفع,
Mode of Payment,طريقة الدفع,
Mode of Payment Account,طريقة حساب الدفع,
Mode of Payments,طريقة الدفع,
Model,الموديل,
Modes of Payment,طرق الدفع,
Modified By,عدل من قبل,
Modified On,تاريخ التعديل,
Monitor Progress,التقدم المرئى,
Monitor for Last 'X' days,مراقبة لآخر 'X' أيام,
Monitoring Frequency,مراقبة التردد,
Month(s) after the end of the invoice month,شهر (أشهر) بعد نهاية شهر الفاتورة,
Monthly Completed Work Orders,أوامر العمل المكتملة شهريًا,
Monthly Distribution,التوزيع الشهري,
Monthly Distribution Percentage,النسبة المئوية للتوزيع الشهري,
Monthly Distribution Percentages,النسب المئوية للتوزيع الشهري,
Monthly Quality Inspections,فحوصات الجودة الشهرية,
Monthly Rate,المعدل الشهري,
Monthly Sales Target,هدف المبيعات الشهرية,
Monthly Total Work Orders,إجمالي أوامر العمل الشهرية,
Months,الشهور,
More/Less than 12 months.,أكثر/أقل من 12 شهرًا.,
Motion Picture & Video,الأفلام والفيديو,
Move Item,حرك بند,
Move Stock,نقل المخزون,
Move to Cart,نقل إلى السلة,
Movement,الحركة,
Moving Average,المتوسط المتحرك,
Moving up in tree ...,الانتقال لأعلى في الشجرة...,
Multi Currency,متعدد العملات,
Multi-level BOM Creator,منشئ قائمة مواد متعدد المستويات,
Multiple Loyalty Programs found for Customer {}. Please select manually.,تم العثور على برامج ولاء متعددة للعميل {}. يرجى التحديد يدويًا.,
Multiple POS Opening Entry,قيود افتتاح متعددة لنقطة البيع,
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}",توجد قواعد أسعار متعددة بنفس المعايير، يرجى حل النزاع عن طريق تعيين الأولوية. قاعدة السعر: {0},
Multiple Tier Program,برنامج متعدد الطبقات,
Multiple Variants,متغيرات متعددة,
Multiple Warehouse Accounts,حسابات مستودعات متعددة,
Multiple company fields available: {0}. Please select manually.,تتوفر حقول شركة متعددة: {0}. يرجى التحديد يدويًا.,
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,يوجد سنوات مالية متعددة لنفس التاريخ {0}. الرجاء تحديد الشركة لهذه السنة المالية,
Multiple items cannot be marked as finished item,لا يمكن تمييز عدة أصناف كصنف تام الصنع,
Music,الموسيقى,
Must be Whole Number,يجب أن يكون عدد صحيح,
Must be a publicly accessible Google Sheets URL and adding Bank Account column is necessary for importing via Google Sheets,يجب أن يكون عنوان URL لـ Google Sheets متاحًا للعامة، كما أن إضافة عمود حساب البنك ضروري للاستيراد عبر Google Sheets,
Mute Email,كتم البريد الإلكتروني,
N/A,N / A,
Name and Employee ID,الاسم والرقم الوظيفي,
Name of Beneficiary,اسم المستفيد,
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,اسم الحساب الجديد. ملاحظة: الرجاء عدم إنشاء حسابات للزبائن والموردين,
Name of the Monthly Distribution,اسم التوزيع الشهري,
Named Place,المكان المسمى,
Naming Series Prefix,بادئة سلسلة التسمية,
Naming Series and Price Defaults,تسلسل التسمية والأسعار الافتراضية,
Naming Series is mandatory,تسلسل التسمية إلزامي,
Nanocoulomb,نانو كولوم,
Nanogram/Litre,نانوجرام/لتر,
Nanohertz,نانو هرتز,
Nanometer,نانومتر,
Nanosecond,نانو ثانية,
Natural Gas,غاز طبيعي,
Needs Analysis,تحليل الاحتياجات,
Negative Quantity is not allowed,الكمية السلبية غير مسموح بها,
Negative Stock Error,خطأ في المخزون السالب,
Negative Valuation Rate is not allowed,معدل التقييم السلبي غير مسموح به,
Negotiation/Review,التفاوض / مراجعة,
Net Amount,صافي القيمة,
Net Amount (Company Currency),صافي المبلغ ( بعملة الشركة ),
Net Asset value as on,صافي قيمة الأصول كما في,
Net Cash from Financing,صافي النقد من التمويل,
Net Cash from Investing,صافي النقد من الاستثمار,
Net Cash from Operations,صافي النقد من العمليات,
Net Change in Accounts Payable,صافي التغير في الحسابات الدائنة,
Net Change in Accounts Receivable,صافي التغير في الحسابات المدينة,
Net Change in Cash,صافي التغير في النقد,
Net Change in Equity,صافي التغير في حقوق الملكية,
Net Change in Fixed Asset,صافي التغير في الأصول الثابتة,
Net Change in Inventory,صافي التغير في المخزون,
Net Hour Rate,صافي سعر الساعة,
Net Profit,صافي الربح,
Net Profit Ratio,نسبة صافي الربح,
Net Profit/Loss,صافي الربح (الخسارة,
Net Purchase Amount,صافي مبلغ الشراء,
Net Purchase Amount is mandatory,مبلغ الشراء الصافي إلزامي,
Net Purchase Amount should be <b>equal</b> to purchase amount of one single Asset.,يجب أن يكون صافي مبلغ الشراء <b>مساوياً</b> لمبلغ شراء أصل واحد.,
Net Purchase Amount {0} cannot be depreciated over {1} cycles.,لا يمكن استهلاك صافي مبلغ الشراء {0} على مدى {1} دورة.,
Net Rate,صافي معدل,
Net Rate (Company Currency),صافي السعر ( بعملة الشركة ),
Net Total,صافي المجموع,
Net Total (Company Currency),صافي الأجمالي ( بعملة الشركة ),
Net Weight,الوزن الصافي,
Net Weight UOM,الوزن الصافي لوحدة القياس,
Net total calculation precision loss,فقدان دقة حساب الإجمالي الصافي,
New Account Name,اسم الحساب الجديد,
New Asset Value,قيمة الأصول الجديدة,
